mode	ntomp	ns_per_day	ms_per_step	force_seconds	update_seconds	total_seconds	path_selected	total_energy	log
scalar_fallback	1	4.403	9.811	1.679	0.972	1.972	scalar_or_other	-1.79849e+05	/home/kiket/Desktop/test/GROMACS_PCFF/output/exact_respa_pairloop_omp_speedup/narrow_nbnxm_runtime_bench_ntomp1_2_6_12_20260417/scalar_fallback/ntomp_1/run.log
scalar_fallback	2	4.633	9.325	1.650	0.930	1.874	scalar_or_other	-1.79849e+05	/home/kiket/Desktop/test/GROMACS_PCFF/output/exact_respa_pairloop_omp_speedup/narrow_nbnxm_runtime_bench_ntomp1_2_6_12_20260417/scalar_fallback/ntomp_2/run.log
scalar_fallback	6	4.775	9.048	1.638	0.900	1.819	scalar_or_other	-1.79849e+05	/home/kiket/Desktop/test/GROMACS_PCFF/output/exact_respa_pairloop_omp_speedup/narrow_nbnxm_runtime_bench_ntomp1_2_6_12_20260417/scalar_fallback/ntomp_6/run.log
scalar_fallback	12	4.682	9.227	1.656	0.918	1.855	scalar_or_other	-1.79849e+05	/home/kiket/Desktop/test/GROMACS_PCFF/output/exact_respa_pairloop_omp_speedup/narrow_nbnxm_runtime_bench_ntomp1_2_6_12_20260417/scalar_fallback/ntomp_12/run.log
narrow_nbnxm	1	12.858	3.360	0.400	0.326	0.675	narrow_nbnxm	-1.79848e+05	/home/kiket/Desktop/test/GROMACS_PCFF/output/exact_respa_pairloop_omp_speedup/narrow_nbnxm_runtime_bench_ntomp1_2_6_12_20260417/narrow_nbnxm/ntomp_1/run.log
narrow_nbnxm	2	21.426	2.016	0.203	0.195	0.405	narrow_nbnxm	-1.79851e+05	/home/kiket/Desktop/test/GROMACS_PCFF/output/exact_respa_pairloop_omp_speedup/narrow_nbnxm_runtime_bench_ntomp1_2_6_12_20260417/narrow_nbnxm/ntomp_2/run.log
narrow_nbnxm	6	36.884	1.171	0.076	0.111	0.235	narrow_nbnxm	-1.79853e+05	/home/kiket/Desktop/test/GROMACS_PCFF/output/exact_respa_pairloop_omp_speedup/narrow_nbnxm_runtime_bench_ntomp1_2_6_12_20260417/narrow_nbnxm/ntomp_6/run.log
narrow_nbnxm	12	34.293	1.260	0.066	0.122	0.253	narrow_nbnxm	-1.79852e+05	/home/kiket/Desktop/test/GROMACS_PCFF/output/exact_respa_pairloop_omp_speedup/narrow_nbnxm_runtime_bench_ntomp1_2_6_12_20260417/narrow_nbnxm/ntomp_12/run.log
