ntomp	equil_ns_day	prod_ns_day	combined_ns_day	equil_ms_step	prod_ms_step	equil_force_s	prod_force_s	equil_update_s	prod_update_s	equil_total_s	prod_total_s	combined_elapsed_s
2	9.285	9.502	9.299	4.652	4.546	37.453	74.940	21.595	43.049	46.529	90.932	139.377
4	17.177	17.768	17.130	2.515	2.431	19.997	39.824	11.279	22.613	25.153	48.628	75.658
6	23.148	23.794	22.788	1.866	1.816	14.590	29.145	8.314	16.566	18.664	36.313	56.872
8	27.844	29.531	27.642	1.551	1.463	11.574	23.055	6.589	13.225	15.517	29.259	46.885
10	31.208	33.143	30.994	1.384	1.303	9.951	19.691	5.757	11.458	13.844	26.070	41.814
12	37.088	37.274	35.266	1.165	1.159	8.909	17.887	5.132	10.376	11.649	23.181	36.750
