fixture_id	mode	ntomp	repeat_index	ns_per_day	ms_per_step	exact_respa_update_omp_mode	force_seconds	update_seconds	total_wallcycle_seconds	log_path
gate_i_eq750_ntomp6_update_modes	baseline	6	1	25.514	1.693	off	0.822	1.656	3.388	/home/kiket/Desktop/test/GROMACS_PCFF/output/exact_respa_update_probe/script_bench_gate_i_ntomp6_20260417/baseline/ntomp_6/repeat_01/run.log
gate_i_eq750_ntomp6_update_modes	update_auto	6	1	25.569	1.69	auto	0.829	1.642	3.381	/home/kiket/Desktop/test/GROMACS_PCFF/output/exact_respa_update_probe/script_bench_gate_i_ntomp6_20260417/update_auto/ntomp_6/repeat_01/run.log
gate_i_eq750_ntomp6_update_modes	update_omp	6	1	26.025	1.66	on	0.8	1.611	3.322	/home/kiket/Desktop/test/GROMACS_PCFF/output/exact_respa_update_probe/script_bench_gate_i_ntomp6_20260417/update_omp/ntomp_6/repeat_01/run.log
